index,zone,year,month,day,hour,load
323,201,2023,1,14,23,9
324,201,2023,1,15,0,8
325,201,2023,1,15,1,5
326,201,2023,1,15,2,2
327,201,2023,1,15,3,1
328,201,2023,1,15,4,0
329,201,2023,1,15,5,0
330,201,2023,1,15,6,0
331,201,2023,1,15,7,0
332,201,2023,1,15,8,0
333,201,2023,1,15,9,3
334,201,2023,1,15,10,9
335,201,2023,1,15,11,14
336,201,2023,1,15,12,23
337,201,2023,1,15,13,31
338,201,2023,1,15,14,32
339,201,2023,1,15,15,39
340,201,2023,1,15,16,41
341,201,2023,1,15,17,35
342,201,2023,1,15,18,32
343,201,2023,1,15,19,22
344,201,2023,1,15,20,14
345,201,2023,1,15,21,9
346,201,2023,1,15,22,7
347,201,2023,1,15,23,5
348,201,2023,1,16,0,4
349,201,2023,1,16,1,2
350,201,2023,1,16,2,2
351,201,2023,1,16,3,1
352,201,2023,1,16,4,1
353,201,2023,1,16,5,1
354,201,2023,1,16,6,0
355,201,2023,1,16,7,1
356,201,2023,1,16,8,9
357,201,2023,1,16,9,27
358,201,2023,1,16,10,42
359,201,2023,1,16,11,45
360,201,2023,1,16,12,42
361,201,2023,1,16,13,43
362,201,2023,1,16,14,41
363,201,2023,1,16,15,47
364,201,2023,1,16,16,36
365,201,2023,1,16,17,31
366,201,2023,1,16,18,31
367,201,2023,1,16,19,20
368,201,2023,1,16,20,16
369,201,2023,1,16,21,12
370,201,2023,1,16,22,7
371,201,2023,1,16,23,3
372,201,2023,1,17,0,2
373,201,2023,1,17,1,1
374,201,2023,1,17,2,1
375,201,2023,1,17,3,1
376,201,2023,1,17,4,1
377,201,2023,1,17,5,1
378,201,2023,1,17,6,1
379,201,2023,1,17,7,4
380,201,2023,1,17,8,13
381,201,2023,1,17,9,26
382,201,2023,1,17,10,43
383,201,2023,1,17,11,59
384,201,2023,1,17,12,58
385,201,2023,1,17,13,52
386,201,2023,1,17,14,50
387,201,2023,1,17,15,51
388,201,2023,1,17,16,40
389,201,2023,1,17,17,44
390,201,2023,1,17,18,34
391,201,2023,1,17,19,24
392,201,2023,1,17,20,18
393,201,2023,1,17,21,10
394,201,2023,1,17,22,3
395,201,2023,1,17,23,1
396,201,2023,1,18,0,1
397,201,2023,1,18,1,0
398,201,2023,1,18,2,0
399,201,2023,1,18,3,0
400,201,2023,1,18,4,0
401,201,2023,1,18,5,0
402,201,2023,1,18,6,1
403,201,2023,1,18,7,4
404,201,2023,1,18,8,12
405,201,2023,1,18,9,34
406,201,2023,1,18,10,44
407,201,2023,1,18,11,40
408,201,2023,1,18,12,44
409,201,2023,1,18,13,52
410,201,2023,1,18,14,51
411,201,2023,1,18,15,38
412,201,2023,1,18,16,33
413,201,2023,1,18,17,31
414,201,2023,1,18,18,25
415,201,2023,1,18,19,16
416,201,2023,1,18,20,14
417,201,2023,1,18,21,12
418,201,2023,1,18,22,8
419,201,2023,1,18,23,3
420,201,2023,1,19,0,2
421,201,2023,1,19,1,1
422,201,2023,1,19,2,0
423,201,2023,1,19,3,0
424,201,2023,1,19,4,0
425,201,2023,1,19,5,0
426,201,2023,1,19,6,0
427,201,2023,1,19,7,3
428,201,2023,1,19,8,13
429,201,2023,1,19,9,26
430,201,2023,1,19,10,37
431,201,2023,1,19,11,40
432,201,2023,1,19,12,43
433,201,2023,1,19,13,45
434,201,2023,1,19,14,42
435,201,2023,1,19,15,40
436,201,2023,1,19,16,39
437,201,2023,1,19,17,31
438,201,2023,1,19,18,25
439,201,2023,1,19,19,18
440,201,2023,1,19,20,17
441,201,2023,1,19,21,14
442,201,2023,1,19,22,8
443,201,2023,1,19,23,4
444,201,2023,1,20,0,2
445,201,2023,1,20,1,2
446,201,2023,1,20,2,0
447,201,2023,1,20,3,0
448,201,2023,1,20,4,0
449,201,2023,1,20,5,0
450,201,2023,1,20,6,1
451,201,2023,1,20,7,2
452,201,2023,1,20,8,13
453,201,2023,1,20,9,31
454,201,2023,1,20,10,40
455,201,2023,1,20,11,44
456,201,2023,1,20,12,39
457,201,2023,1,20,13,41
458,201,2023,1,20,14,36
459,201,2023,1,20,15,38
460,201,2023,1,20,16,33
461,201,2023,1,20,17,32
462,201,2023,1,20,18,31
463,201,2023,1,20,19,30
464,201,2023,1,20,20,24
465,201,2023,1,20,21,15
466,201,2023,1,20,22,10
467,201,2023,1,20,23,6
468,201,2023,1,21,0,3
469,201,2023,1,21,1,3
470,201,2023,1,21,2,1
471,201,2023,1,21,3,1
472,201,2023,1,21,4,1
473,201,2023,1,21,5,1
474,201,2023,1,21,6,1
475,201,2023,1,21,7,1
476,201,2023,1,21,8,4
477,201,2023,1,21,9,11
478,201,2023,1,21,10,17
479,201,2023,1,21,11,19
480,201,2023,1,21,12,31
481,201,2023,1,21,13,38
482,201,2023,1,21,14,39
483,201,2023,1,21,15,41
484,201,2023,1,21,16,50
485,201,2023,1,21,17,46
486,201,2023,1,21,18,42
487,201,2023,1,21,19,38
488,201,2023,1,21,20,31
489,201,2023,1,21,21,22
490,201,2023,1,21,22,8
491,201,2023,1,21,23,5
492,201,2023,1,22,0,3
493,201,2023,1,22,1,2
494,201,2023,1,22,2,2
495,201,2023,1,22,3,0
496,201,2023,1,22,4,0
497,201,2023,1,22,5,0
498,201,2023,1,22,6,0
499,201,2023,1,22,7,0
500,201,2023,1,22,8,1
501,201,2023,1,22,9,3
502,201,2023,1,22,10,5
503,201,2023,1,22,11,15
504,201,2023,1,22,12,18
505,201,2023,1,22,13,19
506,201,2023,1,22,14,28
507,201,2023,1,22,15,31
508,201,2023,1,22,16,41
509,201,2023,1,22,17,35
510,201,2023,1,22,18,32
511,201,2023,1,22,19,31
512,201,2023,1,22,20,23
513,201,2023,1,22,21,21
514,201,2023,1,22,22,7
